05/18 02:20:06 AM <utils.Bunch object at 0x7fa2e488a1d0>
05/18 02:20:23 AM Genotype(normal=[('skip_connect', 1), ('dil_conv_3x3', 0), ('max_pool_3x3', 2), ('max_pool_3x3', 1), ('sep_conv_5x5', 3), ('sep_conv_3x3', 2), ('sep_conv_5x5', 3), ('sep_conv_5x5', 1)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 1), ('max_pool_3x3', 0), ('sep_conv_5x5', 0), ('sep_conv_3x3', 2), ('sep_conv_5x5', 1), ('dil_conv_5x5', 3), ('skip_connect', 2), ('dil_conv_3x3', 3)], reduce_concat=range(2, 6))
05/18 02:20:23 AM --------- Epoch: 0 ----------
05/18 02:20:43 AM Epoch: [0][22/3750]	Time 0.832 (0.861)	Data 0.005 (0.036)	W 0.613 (0.614)	support acc: [0.14 0.71 0.81 0.89 0.91]	 query acc: [0.38666667 0.42666667 0.45333333 0.46666667 0.5       ]
05/18 02:20:43 AM Epoch: [0][23/3750]	Time 0.832 (0.860)	Data 0.005 (0.035)	W 0.616 (0.614)	support acc: [0.21 0.61 0.79 0.84 0.91]	 query acc: [0.4        0.43333333 0.44333333 0.44666667 0.45      ]
05/18 02:20:44 AM Epoch: [0][24/3750]	Time 0.820 (0.858)	Data 0.004 (0.034)	W 0.604 (0.614)	support acc: [0.22 0.62 0.74 0.81 0.85]	 query acc: [0.34333333 0.39333333 0.40333333 0.43       0.47      ]
05/18 02:20:45 AM Epoch: [0][25/3750]	Time 0.819 (0.857)	Data 0.004 (0.032)	W 0.603 (0.613)	support acc: [0.25 0.63 0.73 0.75 0.82]	 query acc: [0.41333333 0.41       0.41333333 0.40666667 0.44666667]
05/18 02:20:46 AM Epoch: [0][26/3750]	Time 0.819 (0.855)	Data 0.005 (0.031)	W 0.603 (0.613)	support acc: [0.18 0.71 0.82 0.85 0.88]	 query acc: [0.40333333 0.42666667 0.42       0.43333333 0.42      ]
05/18 02:20:47 AM Epoch: [0][27/3750]	Time 0.822 (0.854)	Data 0.004 (0.030)	W 0.605 (0.613)	support acc: [0.26 0.72 0.81 0.89 0.91]	 query acc: [0.38       0.44666667 0.46666667 0.46       0.50333333]
05/18 02:20:48 AM Epoch: [0][28/3750]	Time 0.820 (0.853)	Data 0.005 (0.030)	W 0.605 (0.612)	support acc: [0.26 0.63 0.76 0.82 0.9 ]	 query acc: [0.46       0.50333333 0.54333333 0.54333333 0.55666667]
05/18 02:20:48 AM Epoch: [0][29/3750]	Time 0.818 (0.852)	Data 0.005 (0.029)	W 0.604 (0.612)	support acc: [0.21 0.7  0.79 0.84 0.88]	 query acc: [0.35666667 0.46333333 0.45666667 0.48666667 0.48666667]
05/18 02:20:49 AM Epoch: [0][30/3750]	Time 0.821 (0.851)	Data 0.005 (0.028)	W 0.604 (0.612)	support acc: [0.11 0.65 0.79 0.81 0.87]	 query acc: [0.44666667 0.44333333 0.47666667 0.48       0.43      ]
05/18 02:20:50 AM Epoch: [0][31/3750]	Time 0.823 (0.850)	Data 0.005 (0.027)	W 0.606 (0.612)	support acc: [0.24 0.66 0.77 0.82 0.89]	 query acc: [0.39       0.42333333 0.42       0.44333333 0.42333333]
05/18 02:20:51 AM Epoch: [0][32/3750]	Time 0.824 (0.849)	Data 0.005 (0.027)	W 0.607 (0.612)	support acc: [0.21 0.67 0.78 0.85 0.9 ]	 query acc: [0.35333333 0.42333333 0.42333333 0.45666667 0.42666667]
05/18 02:20:52 AM Epoch: [0][33/3750]	Time 0.823 (0.848)	Data 0.005 (0.026)	W 0.607 (0.611)	support acc: [0.18 0.6  0.75 0.82 0.81]	 query acc: [0.40666667 0.40666667 0.41333333 0.4        0.40333333]
05/18 02:20:52 AM Epoch: [0][34/3750]	Time 0.829 (0.848)	Data 0.006 (0.025)	W 0.612 (0.611)	support acc: [0.15 0.62 0.75 0.74 0.79]	 query acc: [0.37666667 0.41       0.41666667 0.42       0.43666667]
05/18 02:20:53 AM Epoch: [0][35/3750]	Time 0.826 (0.847)	Data 0.005 (0.025)	W 0.609 (0.611)	support acc: [0.15 0.62 0.68 0.8  0.78]	 query acc: [0.35666667 0.42       0.40666667 0.39666667 0.40333333]
05/18 02:20:54 AM Epoch: [0][36/3750]	Time 0.821 (0.846)	Data 0.005 (0.024)	W 0.605 (0.611)	support acc: [0.2  0.66 0.78 0.84 0.9 ]	 query acc: [0.42       0.47666667 0.48666667 0.51       0.50333333]
05/18 02:20:55 AM Epoch: [0][37/3750]	Time 0.821 (0.846)	Data 0.005 (0.024)	W 0.605 (0.611)	support acc: [0.2  0.61 0.72 0.79 0.83]	 query acc: [0.35333333 0.40666667 0.41333333 0.38666667 0.39666667]
05/18 02:20:56 AM Epoch: [0][38/3750]	Time 0.821 (0.845)	Data 0.005 (0.023)	W 0.604 (0.611)	support acc: [0.22 0.66 0.76 0.9  0.89]	 query acc: [0.36333333 0.41666667 0.40333333 0.42333333 0.41666667]
05/18 02:20:57 AM Epoch: [0][39/3750]	Time 0.821 (0.844)	Data 0.005 (0.023)	W 0.605 (0.611)	support acc: [0.2  0.62 0.71 0.75 0.83]	 query acc: [0.40666667 0.44333333 0.46       0.45333333 0.47      ]
05/18 02:20:57 AM Epoch: [0][40/3750]	Time 0.820 (0.844)	Data 0.004 (0.022)	W 0.605 (0.611)	support acc: [0.21 0.72 0.79 0.86 0.87]	 query acc: [0.4        0.44333333 0.41333333 0.42333333 0.43333333]
05/18 02:20:58 AM Epoch: [0][41/3750]	Time 0.821 (0.843)	Data 0.005 (0.022)	W 0.605 (0.610)	support acc: [0.17 0.69 0.81 0.87 0.9 ]	 query acc: [0.35666667 0.37333333 0.38666667 0.39666667 0.37666667]
